,0
Diabetes,87.1923076923077
blood pressure,73.66153846153846
weight loss,64.1
diabetes type,15.906257353757358
PCOS,14.671422466422461
metformin,14.260631868131872
neuropathy,13.886587856587852
cellulitis,10.332592898554433
body weight,10.310020214827908
Type 2 diabetes,9.450802640044724
PPG,8.18282473622406
diabetes symptoms,6.806210319225421
Type 1 diabetes,6.332050436366046
hypoglycemia,5.5477690365190355
Gestational diabetes,4.595281775104075
bariatric surgery,4.326765755671557
blood glucose,3.953846153846154
gastroparesis,3.527286334489374
physical activity,3.3205141016140565
high glucose,2.6612303368941754
diabetes diet,2.626381741458665
prediabetes,2.6188795166370995
Lantus,2.586528338075
peripheral neuropathy,2.568137287246523
gangrene,2.5297001736888087
glycemic index,2.4451801467790775
diabetic diet,2.411226117830045
Diabetes Mellitus,2.260228632637185
Januvia,2.2202960912347813
Humalog,1.6949072141919892
diabetes causes,1.676923076923077
fasting glucose,1.638410087600744
Novolog,1.5563500920688327
body mass index,1.4832081807081805
insulin pump,1.4432051103812094
diabetic foot,1.3199510737034843
metabolic syndrome,1.2634081934729755
glucose meter,1.2624431310255844
ESRD,1.2409949659690458
diabetic neuropathy,1.2243790597759774
diabetes treatment,1.2219692933240565
Tresiba,1.1065701892179092
Levemir,1.028369791480252
pioglitazone,0.9777574352697814
glucose monitor,0.9663645570453074
diabetes type 2 symptoms,0.9654305318159814
diabetes medication,0.9074527713461006
Invokana,0.9019699927845356
ACTOS,0.8976529423854664
diabetes cure,0.8846153846153846
acromegaly,0.848680007454378
hirsutism,0.8318029329766919
diabetic retinopathy,0.788014782685761
urine glucose,0.7508519271075833
HbA1c,0.7390062569629511
Lispro,0.7243638692653835
Toujeo,0.7217253827300106
about diabetes,0.7024910349461492
Humulin,0.6940807170062157
Novolin,0.6819241054262778
Tradjenta,0.6449649484597024
Acanthosis nigricans,0.6408853859815401
type I diabetes,0.6314837812137568
Diabetes medicine,0.6177094966899694
Glargine,0.6116925462046247
glucose tolerance test,0.59529643526639
diabetes diagnosis,0.5932324224856003
diabetes type 1 symptoms,0.5743981399215671
Regular insulin,0.4642429691437391
NPH insulin,0.4611727549537136
insulin injection,0.4584965144979195
normal blood glucose levels,0.458038464168303
End stage renal disease,0.43625079788175186
artificial sweetener,0.43440781951187857
Aspart,0.41926571185053574
diabetes exercise,0.41899670802301286
insulin syringe,0.38433156386769773
Glucophage,0.3840386661007575
insulin needles,0.3727559997405636
diabetes recipes,0.364329190835342
Sitagliptin,0.3572195197953542
plasma concentration,0.3423305129094179
diabetic coma,0.33675842917079585
diabetes testing,0.3333444370831026
diabetes prevention,0.3333140626587076
long acting insulin,0.30988095238095276
Welchol,0.3080640831297059
diabetes surgery,0.29247189024882714
onset diabetes,0.27143597761496985
FlexPen,0.2675783361707273
plasma glucose,0.2651301479218122
alogliptin,0.26283355463960517
SGLT2 inhibitors,0.2613348252126785
FPG,0.2555658837052095
polycystic ovarian syndrome,0.25
diabetes risk factors,0.24968137519693814
diabetes study,0.24274965140378155
increased urination,0.23814713064713028
Autonomic Neuropathy,0.2361942358977625
diabetes lose weight ,0.22271470092281398
