id,has_title,has_description,has_tags,cosine_similarity,accredited,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,duration
yfEMad4zMxM,1,1,1,0.0,0,108.42098591549296,1,213,160,2,0,27,126.0
PC4Yd3feSBc,1,1,1,0.0,1,12.727603092783504,16,388,241,7,0,56,112.0
nVnusCfLmSs,1,1,1,0.0,0,1.5874999999999986,2,12,12,1,0,1,168.0
jTfl3l7e6_c,1,1,1,0.08638684255813601,0,23.803503030303027,6,275,176,8,0,44,128.0
i6lxO6W2-m8,1,1,1,0.07273929674533079,0,12.548957932948966,21,446,232,11,0,55,259.0
IMON9zmViu4,1,1,1,0.0873704056661038,0,8.946487154150201,16,253,153,8,0,32,288.0
sWo7Q0oEL08,1,1,1,0.09805806756909202,0,12.956428571428567,2,42,38,4,0,5,61.0
NEftg2gU1ds,1,1,1,0.0,0,11.067307692307693,5,78,59,2,0,13,131.0
_tsggTz2PaY,1,1,1,0.0,0,0.0,0,0,0,0,0,0,355.0
YtkCYhq3Rtc,1,1,1,0.0,0,22.492514792899406,4,169,127,3,0,11,355.0
i3A7PLhrDck,1,1,1,0.0,0,70.8675,1,132,89,3,0,9,286.0
ZuUfGeoN_cw,1,1,1,0.0,0,21.260454545454543,2,66,54,2,0,4,103.0
lepetKsEfx4,1,1,0,0.0936585811581694,0,12.90842767295598,3,53,49,1,0,6,71.0
OiTQq1rhnmQ,1,1,1,0.0,1,4.98,2,24,22,2,0,5,61.0
v6VtYh0lStQ,1,1,1,0.0,0,37.87049180327869,1,61,44,2,0,2,220.0
OjvWMTzIArg,1,1,1,0.0,0,7.213571428571427,3,42,41,2,0,4,125.0
7A4EXlqkg_M,1,1,1,0.0,0,6.776666666666667,2,27,22,3,0,5,242.0
kZY-7Pdw7JE,1,1,1,0.0,0,11.148409660514922,21,418,250,7,0,40,152.0
gmdTGR6v9iY,1,1,1,0.05832118435198043,0,18.6925184501845,8,271,183,5,0,39,183.0
VjxJljw-2_4,1,1,1,0.0,0,0.0,0,0,0,0,0,0,82.0
2s1RgmSHxR4,1,1,1,0.0,0,8.59682926829268,5,82,70,4,0,17,126.0
NfVb-rwUDoM,1,1,1,0.0,0,26.736129032258063,1,31,29,1,0,3,200.0
